time,S,I,R
0.0,0.99,0.01,0.0
0.5,0.9881103245895545,0.011252813022492791,0.0006368623879527247
1.0,0.9859886031979661,0.01265801431175522,0.0013533824902787431
1.5,0.9836078563867757,0.014232928322850717,0.0021592152903736005
2.0,0.9809383669461835,0.01599652873638678,0.0030651043174297916
2.5,0.9779475078026327,0.01796950937580631,0.004082982821561023
3.0,0.9745995890052341,0.020174332430940457,0.005226078563825423
3.5,0.9708557344175495,0.022635244984090176,0.00650902059836036
4.0,0.9666738012106295,0.025378252961165557,0.007947945828204954
4.5,0.9620083579658382,0.028431039630009876,0.009560602404151965
5.0,0.956810740059427,0.031822813738353724,0.011366446202219303
5.5,0.951029203860292,0.03558407047714317,0.013386725662564885
6.0,0.9446092038934476,0.03974624689203881,0.01564454921451362
6.5,0.9374938191737912,0.0443412524481456,0.018164928378063244
7.0,0.9296243559581855,0.049400855570073315,0.020974788471741217
7.5,0.9209411536471888,0.054955908606858804,0.024102937745952437
8.0,0.9113846178404061,0.06103539735292727,0.02757998480666663
8.5,0.9008964988999854,0.06766530756316812,0.031438193536846626
9.0,0.889421425104731,0.07486731035907492,0.03571126453619424
9.5,0.8769086860061188,0.08265728140882808,0.04043403258505325
10.0,0.8633142436308614,0.0910436853575592,0.045642071011579535
10.5,0.8486029268884916,0.10002587680123838,0.05137119631027019
11.0,0.8327507387900599,0.10959239111889714,0.057656870091043075
11.5,0.8157471785743616,0.119719320911797,0.06453350051384142
12.0,0.7975974542275195,0.13036889403778393,0.07203365173469665
12.5,0.7783244387103498,0.14148838396244934,0.08018717732720092
13.0,0.7579702096151785,0.15300948867701533,0.08902030170780632
13.5,0.7365970111590674,0.16484830721765686,0.09855468162327582
14.0,0.7142874928733534,0.17690602022302898,0.10880648690361776
14.5,0.6911441129556666,0.18907034206160536,0.1197855449827282
15.0,0.667287645463762,0.2012177583414755,0.13149459619476267
15.5,0.6428547958531933,0.21321649835441223,0.1439287057923946
16.0,0.6179950023677107,0.22493012406666138,0.15707487356562805
16.5,0.5928665728280473,0.2362215542729077,0.1709118728990451
17.0,0.5676323678847752,0.24695729345557307,0.1854103386596518
17.5,0.5424552840957899,0.25701160737208745,0.20053310853212275
18.0,0.5174938071116719,0.2662703861230625,0.21623580676526571
18.5,0.4928978944836507,0.27463446113617457,0.23246764438017486
19.0,0.46880541112112845,0.2820221916301679,0.24917239724870377
19.5,0.4453392840154892,0.28837120169295893,0.26628951429155195
20.0,0.4226054748810769,0.2936392220306646,0.28375530308825864
20.5,0.40069179909017005,0.2978040613168103,0.3015041395930198
21.0,0.37966755514178285,0.3008627928229283,0.319469652035289
21.5,0.3595838772574937,0.30283028707839765,0.3375858356641088
22.0,0.3404746881299808,0.3037372481328696,0.35578806373714983
22.5,0.322358110157964,0.3036279198809048,0.3740139699611314
23.0,0.30523819017099907,0.3025576223789691,0.39220418745003205
23.5,0.2891068016245222,0.3005902600075667,0.4103029383679113
24.0,0.2739456057633374,0.29779591803571764,0.4282584762009452
24.5,0.25972797554533383,0.29424863570448734,0.4460233887501791
25.0,0.24642080992440235,0.2900244157070247,0.46355477436857323
25.5,0.23398618892164633,0.28519950430619534,0.48081430677215864
26.0,0.22238284011629086,0.2798489547440745,0.49776820513963493
26.5,0.21156740387787096,0.27404546967937926,0.5143871264427501
27.0,0.2014954975692139,0.2678585061271101,0.5306459963036764
27.5,0.19212258824095957,0.26135361833571524,0.5465237934233256
28.0,0.18340468944554486,0.25459200955419276,0.5620033010002627
28.5,0.1752989012830058,0.24763026196248647,0.5770708367545081
29.0,0.16776381424112397,0.24052021442888244,0.591715971329994
29.5,0.16075979735825877,0.23330895956393263,0.605931243077809
30.0,0.15424919019363698,0.2260389342186954,0.619711875587668
30.5,0.14819641642256534,0.2187480807011174,0.6330555028763176
31.0,0.14256803487948852,0.21147005924474718,0.6459619058757646
31.5,0.1373327417661143,0.20423449544148112,0.6584327627924049
32.0,0.13246133567341023,0.19706724930574251,0.6704714150208476
32.5,0.1279266551297652,0.18999069529268886,0.6820826495775463
33.0,0.12370349663683494,0.18302400491315354,0.6932724984500118
33.5,0.11976851961389465,0.17618342556906325,0.7040480548170425
34.0,0.11610014334498768,0.1694825508908939,0.7144173057641188
34.5,0.11267843990179759,0.16293257922093302,0.7243889808772698
35.0,0.10948502608227766,0.15654255798615804,0.7339724159315647
35.5,0.10650295664006292,0.15031961257768067,0.7431774307822568
36.0,0.10371662046071513,0.14426915903436366,0.7520142205049216
36.5,0.101111640846498,0.13839510034838087,0.7604932588051215
37.0,0.09867478068168903,0.13270000659887124,0.7686252127194402
37.5,0.09639385294743982,0.12718527940153393,0.7764208676510267
38.0,0.09425763682314572,0.12185130135852,0.7838910618183347
38.5,0.09225579943663793,0.11669757132238287,0.7910466292409796
39.0,0.09037882319682276,0.11172282636516598,0.7978983504380116
39.5,0.08861793855011754,0.10692515138121851,0.8044569100686643
40.0,0.08696506193830496,0.10230207725998465,0.8107328608017107
40.5,0.0854127386938302,0.0978506685507688,0.8167365927554013
41.0,0.08395409058391394,0.09356760151164144,0.822478307904445
41.5,0.08258276770299486,0.08944923339415126,0.8279679989028542
42.0,0.08129290441065108,0.08549166376816762,0.8332154318211816
42.5,0.0800790790166818,0.08169078863991051,0.838230132343408
43.0,0.07893627692443207,0.07804234806322569,0.8430213750123426
43.5,0.07785985695614539,0.07454196789105341,0.8475981751528016
44.0,0.07684552059893138,0.07118519626198916,0.8519692831390798
44.5,0.07588928392592978,0.06796753536666222,0.8561431807074084
45.0,0.07498745196376086,0.06488446899091196,0.8601280790453275
45.5,0.07413659529387938,0.06193148628775893,0.863931918418362
46.0,0.0733335286916389,0.05910410218813484,0.8675623691202267
46.5,0.07257529162247883,0.05639787482131756,0.871026833556204
47.0,0.0718591304295048,0.05380842027999772,0.8743324492904979
47.5,0.07118248206074274,0.051331425031805225,0.8774860929074525
48.0,0.0705429591974563,0.04896265624882791,0.8804943845537162
48.5,0.06993833665710689,0.046697970299015006,0.8833636930438785
49.0,0.06936653895581195,0.044533319618214044,0.8861001414259744
49.5,0.06882562892554714,0.042464758158771536,0.8887096129156817
50.0,0.06831379729087526,0.04048844558996414,0.891197757119161
50.5,0.06782935311871677,0.03860065040684946,0.8935699964744342
51.0,0.06737071506265035,0.0367977520872706,0.8958315328500795
51.5,0.06693640333050041,0.03507624242156032,0.8979873542479397
52.0,0.06652503231058077,0.033432726125821974,0.9000422415635977
52.5,0.06613530379797422,0.031863920837377345,0.9020007753646488
53.0,0.06576600076768167,0.03036665657993866,0.9038673426523801
53.5,0.06541598164642147,0.02893787477616394,0.905646143577415
54.0,0.06508417503934219,0.027574626876383925,0.9073411980842743
54.5,0.06476957487197217,0.026274072664344107,0.9089563524636841
55.0,0.0644712359114043,0.02503347829369678,0.9104952857948994
55.5,0.06418826963404096,0.023850214102621732,0.9119615162633378
56.0,0.06391984041023395,0.0227217522482754,0.9133584073414911
56.5,0.06366516197887671,0.021645664197698367,0.9146891738234254
57.0,0.06342349418747018,0.0206196181072881,0.9159568877052422
57.5,0.06319413997541155,0.019641376118912163,0.9171644839056767
58.0,0.06297644258027256,0.01870879159714574,0.9183147658225821
58.5,0.06276978294865775,0.017819806328921446,0.9194104107224212
59.0,0.06257357733488583,0.01697244770403717,0.9204539749610774
59.5,0.062387275072231886,0.016164825892443026,0.9214478990353255
60.0,0.06221035650282256,0.015395131031987497,0.9223945124651904
60.5,0.062042331053503416,0.014661630438316116,0.923296038508181
61.0,0.06188273544610887,0.013962665846856608,0.9241545987070351
61.5,0.06173113203157339,0.01329665069526811,0.924972217273159
