time,S,I,R
0,215,5,0
1,214,6,0
2,214,6,0
3,214,6,0
4,213,7,0
5,212,8,0
6,211,9,0
7,210,4,6
8,210,4,6
9,209,5,6
10,208,5,7
11,208,4,8
12,208,3,9
13,208,2,10
14,207,3,10
15,207,2,11
16,207,1,12
17,207,1,12
18,207,1,12
19,207,1,12
20,207,0,13
21,207,0,13
22,207,0,13
23,207,0,13
24,207,0,13
25,207,0,13
26,207,0,13
27,207,0,13
28,207,0,13
29,207,0,13
30,207,0,13
31,207,0,13
32,207,0,13
33,207,0,13
34,207,0,13
35,207,0,13
36,207,0,13
37,207,0,13
38,207,0,13
39,207,0,13
40,207,0,13
41,207,0,13
42,207,0,13
43,207,0,13
44,207,0,13
45,207,0,13
46,207,0,13
47,207,0,13
48,207,0,13
49,207,0,13
50,207,0,13
51,207,0,13
52,207,0,13
53,207,0,13
54,207,0,13
55,207,0,13
56,207,0,13
57,207,0,13
58,207,0,13
59,207,0,13
60,207,0,13
61,207,0,13
62,207,0,13
63,207,0,13
64,207,0,13
65,207,0,13
66,207,0,13
67,207,0,13
68,207,0,13
69,207,0,13
70,207,0,13
71,207,0,13
72,207,0,13
73,207,0,13
74,207,0,13
75,207,0,13
76,207,0,13
77,207,0,13
78,207,0,13
79,207,0,13
80,207,0,13
