time,S,I,R
0,990,10,0
1,987,12,1
2,983,15,2
3,978,18,4
4,972,22,6
5,965,27,8
6,957,32,11
7,947,38,15
8,935,46,19
9,921,55,24
10,905,65,30
11,886,77,37
12,864,91,45
13,839,106,55
14,811,122,67
15,779,141,80
16,744,160,96
17,706,180,114
18,665,201,134
19,622,222,156
20,578,242,180
21,533,260,207
22,489,275,236
23,446,288,266
24,405,297,298
25,367,302,331
26,332,304,364
27,300,303,397
28,271,299,430
29,245,292,463
30,222,283,495
31,202,272,526
32,184,260,556
33,169,246,585
34,156,232,612
35,144,218,638
36,134,204,662
37,125,191,684
38,117,178,705
39,110,165,725
40,104,153,743
41,99,141,760
42,95,129,776
43,91,119,790
44,88,109,803
45,85,100,815
46,82,92,826
47,80,84,836
48,78,77,845
49,76,71,853
50,74,65,861
51,72,60,868
52,71,54,875
53,70,49,881
54,69,45,886
55,68,41,891
56,67,37,896
57,66,34,900
58,65,31,904
59,64,29,907
60,63,27,910
61,62,25,913
62,62,22,916
63,62,20,918
64,62,18,920
65,62,16,922
66,62,14,924
67,62,12,926
68,62,11,927
69,62,10,928
70,62,9,929
71,62,8,930
72,62,7,931
73,62,6,932
74,62,5,933
75,62,4,934
76,62,4,934
77,62,4,934
78,62,4,934
79,62,4,934
80,62,4,934
