time,expected_events,observed_events
0,0.0,0
1,0.12,0
2,0.24,0
3,0.36,0
4,0.48,0
5,0.6,0
6,0.72,0
7,0.84,0
8,0.96,0
9,1.08,0
10,1.2,0
11,1.3199999999999998,0
12,1.44,0
13,1.56,0
14,1.68,1
15,1.7999999999999998,1
16,1.92,1
17,2.04,1
18,2.16,1
19,2.28,2
20,2.4,2
21,2.52,2
22,2.6399999999999997,2
23,2.76,3
24,2.88,4
25,3.0,5
26,3.12,5
27,3.2399999999999998,5
28,3.36,5
29,3.48,5
30,3.5999999999999996,5
31,3.7199999999999998,5
32,3.84,5
33,3.96,5
34,4.08,5
35,4.2,5
36,4.32,5
37,4.4399999999999995,5
38,4.56,5
39,4.68,5
40,4.8,5
41,4.92,5
42,5.04,6
43,5.16,6
44,5.279999999999999,7
45,5.3999999999999995,7
46,5.52,7
47,5.64,7
48,5.76,7
49,5.88,7
50,6.0,7
51,6.12,8
52,6.24,8
53,6.359999999999999,8
54,6.4799999999999995,8
55,6.6,8
56,6.72,8
57,6.84,8
58,6.96,8
59,7.08,9
60,7.199999999999999,9
61,7.319999999999999,9
62,7.4399999999999995,9
63,7.56,9
64,7.68,9
65,7.8,9
66,7.92,9
67,8.04,9
68,8.16,9
69,8.28,9
70,8.4,9
71,8.52,9
72,8.64,9
73,8.76,9
74,8.879999999999999,9
75,9.0,10
76,9.12,10
77,9.24,10
78,9.36,10
79,9.48,10
80,9.6,10
81,9.719999999999999,11
82,9.84,11
83,9.959999999999999,11
84,10.08,11
85,10.2,11
86,10.32,11
87,10.44,11
88,10.559999999999999,11
89,10.68,11
90,10.799999999999999,11
91,10.92,11
92,11.04,12
93,11.16,12
94,11.28,12
95,11.4,12
96,11.52,12
97,11.639999999999999,12
98,11.76,12
99,11.879999999999999,12
100,12.0,12
101,12.12,12
102,12.24,12
103,12.36,13
104,12.48,13
105,12.6,13
106,12.719999999999999,13
107,12.84,13
108,12.959999999999999,13
109,13.08,13
110,13.2,13
111,13.32,13
112,13.44,13
113,13.559999999999999,13
114,13.68,13
115,13.799999999999999,13
116,13.92,13
117,14.04,13
118,14.16,13
119,14.28,13
