time,S,I,R,event
0.0,180,6,0,start
0.1416592491137556,179,7,0,infection
0.3308941446800333,178,8,0,infection
0.6015995433325959,177,9,0,infection
0.8129970283869528,177,8,1,recovery
0.8868847238866435,176,9,1,infection
0.9708159910906631,175,10,1,infection
1.1341723010534264,174,11,1,infection
1.3001821847788853,173,12,1,infection
1.316227851519443,172,13,1,infection
1.3300455896806829,171,14,1,infection
1.3423945297753836,170,15,1,infection
1.5320704960439988,169,16,1,infection
1.6070256510946057,168,17,1,infection
1.7236603327343272,167,18,1,infection
1.9585827294050489,166,19,1,infection
2.125943991820247,165,20,1,infection
2.2007563303206528,164,21,1,infection
2.280210465510728,163,22,1,infection
2.3770070705389057,163,21,2,recovery
2.480621877675312,162,22,2,infection
2.5133772466036506,161,23,2,infection
2.5537721498064223,161,22,3,recovery
2.5825261894499905,160,23,3,infection
2.6779440971481288,160,22,4,recovery
2.729390477629208,159,23,4,infection
2.8351735220704697,159,22,5,recovery
2.930430841638409,158,23,5,infection
2.935309337325875,157,24,5,infection
2.968832922188053,156,25,5,infection
3.019428597766311,155,26,5,infection
3.0716701315776747,155,25,6,recovery
3.186127854542195,154,26,6,infection
3.190369340773477,154,25,7,recovery
3.2119917047929563,153,26,7,infection
3.214994376416908,153,25,8,recovery
3.2475966642045706,153,24,9,recovery
3.311768593229181,153,23,10,recovery
3.6041751588884465,152,24,10,infection
3.667004430565608,151,25,10,infection
3.698285915762437,151,24,11,recovery
3.762289956977273,150,25,11,infection
3.8022789213269257,150,24,12,recovery
3.9796069157841907,149,25,12,infection
4.124784969409021,148,26,12,infection
4.167669360012922,147,27,12,infection
4.174913879930777,146,28,12,infection
4.211870784373463,145,29,12,infection
4.21447561062236,144,30,12,infection
4.244923458459451,143,31,12,infection
4.5003093109927015,142,32,12,infection
4.678233633367685,142,31,13,recovery
4.719832448380228,141,32,13,infection
4.752911761119081,140,33,13,infection
4.800999739147984,140,32,14,recovery
4.9104817778435335,139,33,14,infection
4.929057117246162,138,34,14,infection
5.042445788553578,137,35,14,infection
5.2734694088523515,137,34,15,recovery
5.379467675022026,137,33,16,recovery
5.486937477734957,137,32,17,recovery
5.489873447277413,136,33,17,infection
5.622939832780183,135,34,17,infection
5.683666618449214,134,35,17,infection
5.707387745986249,133,36,17,infection
5.718346214836631,132,37,17,infection
5.733751434927378,131,38,17,infection
5.759208870323045,130,39,17,infection
5.8009828880967325,130,38,18,recovery
5.842801404053655,130,37,19,recovery
6.001553262261854,129,38,19,infection
6.009375918098025,129,37,20,recovery
6.043204021826961,129,36,21,recovery
6.075203637579303,128,37,21,infection
6.103044410854094,128,36,22,recovery
6.19116140407959,127,37,22,infection
6.2236436037275364,126,38,22,infection
6.299037407746825,125,39,22,infection
6.365189868043743,124,40,22,infection
6.422024631702809,123,41,22,infection
6.4864847647941275,123,40,23,recovery
6.488328130474003,123,39,24,recovery
6.505542018070078,122,40,24,infection
6.552723005187939,121,41,24,infection
6.620086656182337,121,40,25,recovery
6.672587640464437,120,41,25,infection
6.7849814202227146,120,40,26,recovery
6.794704045332341,120,39,27,recovery
6.838911712678035,119,40,27,infection
6.85521935940524,118,41,27,infection
6.862041892131721,117,42,27,infection
7.003161169353738,117,41,28,recovery
7.117534768564524,116,42,28,infection
7.143240002724558,115,43,28,infection
7.144009105041197,114,44,28,infection
7.19427007222107,114,43,29,recovery
7.290466891859378,113,44,29,infection
7.397413920542187,112,45,29,infection
7.4272279598238695,111,46,29,infection
7.439398163596656,110,47,29,infection
7.479876182340391,109,48,29,infection
7.542146794060583,109,47,30,recovery
7.564702123904741,109,46,31,recovery
7.57084677574346,109,45,32,recovery
7.6012459360399856,108,46,32,infection
7.6759451592005234,108,45,33,recovery
7.717581207204732,107,46,33,infection
7.746636431049822,106,47,33,infection
7.765904469033848,105,48,33,infection
7.780193093916477,105,47,34,recovery
7.796103721340158,104,48,34,infection
7.883358692600476,104,47,35,recovery
7.993419913444255,104,46,36,recovery
8.033494064653803,104,45,37,recovery
8.117567947937276,103,46,37,infection
8.169249662018169,103,45,38,recovery
8.170538980994046,102,46,38,infection
8.17557197101491,102,45,39,recovery
8.187903851916477,101,46,39,infection
8.213098586670176,101,45,40,recovery
8.229319485038511,100,46,40,infection
8.311696942005103,100,45,41,recovery
8.334632094396287,100,44,42,recovery
8.56205510553272,100,43,43,recovery
8.591251249235777,100,42,44,recovery
8.655105854756334,99,43,44,infection
9.019740387310135,99,42,45,recovery
9.09203936462684,99,41,46,recovery
9.172621571418153,98,42,46,infection
9.284063910339945,97,43,46,infection
9.299617979612565,97,42,47,recovery
9.319646927126401,97,41,48,recovery
9.320371368226589,97,40,49,recovery
9.404415753101713,96,41,49,infection
9.42042053240245,95,42,49,infection
9.564297023547322,94,43,49,infection
9.59991210970937,93,44,49,infection
9.60491671559778,92,45,49,infection
9.652792469247634,91,46,49,infection
9.876971363748982,91,45,50,recovery
9.900586991955583,91,44,51,recovery
9.92592693605771,91,43,52,recovery
9.97019440325443,91,42,53,recovery
10.182555611200682,90,43,53,infection
10.18801822856372,90,42,54,recovery
10.621374648230749,90,41,55,recovery
10.629253911274047,89,42,55,infection
10.798747013613896,89,41,56,recovery
10.82387300727352,88,42,56,infection
10.845338878727713,88,41,57,recovery
10.846653306539531,87,42,57,infection
11.015102696713765,87,41,58,recovery
11.087063076997342,86,42,58,infection
11.115212696097501,86,41,59,recovery
11.189791496963199,85,42,59,infection
11.247468918603051,84,43,59,infection
11.50850274148789,84,42,60,recovery
11.582456632065409,83,43,60,infection
11.638246290887281,83,42,61,recovery
11.656635994819833,82,43,61,infection
11.666371513117047,82,42,62,recovery
11.70404300031754,81,43,62,infection
11.71936627230393,81,42,63,recovery
11.755471357011396,81,41,64,recovery
11.865107234207482,80,42,64,infection
11.959376790774805,79,43,64,infection
11.980778861933562,78,44,64,infection
12.106498850883405,78,43,65,recovery
12.213611341894326,77,44,65,infection
12.524891612054544,77,43,66,recovery
12.593375824801349,77,42,67,recovery
12.652300816776245,77,41,68,recovery
12.87387581514502,76,42,68,infection
12.899963290757508,76,41,69,recovery
13.037806814219513,75,42,69,infection
13.164226893740514,75,41,70,recovery
13.205933946193634,74,42,70,infection
13.250544262884723,73,43,70,infection
13.32872411691754,72,44,70,infection
13.348166735518923,72,43,71,recovery
13.370422966814713,72,42,72,recovery
13.38346624943187,72,41,73,recovery
13.390008976111776,72,40,74,recovery
13.406455955718172,71,41,74,infection
13.466489226359627,71,40,75,recovery
13.513452663567502,70,41,75,infection
13.67817577161238,69,42,75,infection
13.731524108753487,68,43,75,infection
13.788258444785946,68,42,76,recovery
13.919980887535438,68,41,77,recovery
13.94962929748784,68,40,78,recovery
14.066188308830966,67,41,78,infection
14.127794139859922,67,40,79,recovery
14.356345067237822,67,39,80,recovery
14.395402389600953,67,38,81,recovery
14.4248106372143,67,37,82,recovery
14.507776704972114,66,38,82,infection
14.63192720287043,66,37,83,recovery
14.748643139112334,65,38,83,infection
14.775286653984685,64,39,83,infection
14.779326422373705,63,40,83,infection
14.848564050713394,62,41,83,infection
14.868397527461353,62,40,84,recovery
15.022291637415211,62,39,85,recovery
15.043631293546854,61,40,85,infection
15.119571902878434,61,39,86,recovery
15.121161761381478,61,38,87,recovery
15.209045557719634,61,37,88,recovery
15.266868347688524,60,38,88,infection
15.334238380804294,60,37,89,recovery
15.35823441598364,60,36,90,recovery
15.36423219539977,60,35,91,recovery
15.41716508458508,59,36,91,infection
15.48613766128734,59,35,92,recovery
15.552632478458753,58,36,92,infection
15.720369150633971,58,35,93,recovery
15.786276802675612,58,34,94,recovery
15.955203635013746,58,33,95,recovery
16.059840171657008,58,32,96,recovery
16.097700950606193,57,33,96,infection
16.099374250702752,57,32,97,recovery
16.11327371130877,56,33,97,infection
16.17060573461115,56,32,98,recovery
16.314004436325007,55,33,98,infection
16.428611557133646,55,32,99,recovery
16.452202611468806,55,31,100,recovery
16.46397036091239,55,30,101,recovery
16.558758347207785,54,31,101,infection
17.189719629073917,54,30,102,recovery
17.4223314255286,54,29,103,recovery
17.492799818965786,54,28,104,recovery
17.57068648347183,54,27,105,recovery
17.66003702631137,54,26,106,recovery
17.671872664430836,54,25,107,recovery
17.67909025132248,54,24,108,recovery
17.75305372570455,54,23,109,recovery
17.97705854510726,54,22,110,recovery
18.054077356996878,54,21,111,recovery
18.328340590190958,54,20,112,recovery
18.43372951681033,54,19,113,recovery
18.519336701386496,54,18,114,recovery
18.63184007944559,53,19,114,infection
18.942245498452255,53,18,115,recovery
18.95477769349174,53,17,116,recovery
19.073307291296395,52,18,116,infection
19.47571868038931,51,19,116,infection
19.562655493187147,51,18,117,recovery
19.794038458883367,51,17,118,recovery
20.332405807919148,50,18,118,infection
20.47955943922464,49,19,118,infection
20.787281533279938,48,20,118,infection
21.036641996672206,48,19,119,recovery
21.622400150872128,48,18,120,recovery
21.98838124755767,47,19,120,infection
22.204198997530902,46,20,120,infection
22.605805164624606,45,21,120,infection
22.794396033906168,45,20,121,recovery
22.965254466734454,44,21,121,infection
23.184335731182873,44,20,122,recovery
23.543425138930708,44,19,123,recovery
23.56877484227759,44,18,124,recovery
23.620619579797463,44,17,125,recovery
23.780862931451182,44,16,126,recovery
23.828044805328716,44,15,127,recovery
23.96681528051138,43,16,127,infection
24.386363040641367,43,15,128,recovery
25.7558023456359,43,14,129,recovery
25.788705913286368,43,13,130,recovery
25.811657186185954,43,12,131,recovery
26.10757685428124,42,13,131,infection
26.12302938425642,42,12,132,recovery
26.450294006364018,41,13,132,infection
27.172790347819785,41,12,133,recovery
27.253426142808646,40,13,133,infection
27.97696785057864,40,12,134,recovery
28.282687196789233,39,13,134,infection
28.414288871295465,39,12,135,recovery
28.982770049568238,38,13,135,infection
29.434253054839004,37,14,135,infection
29.57716933889118,37,13,136,recovery
30.076727003740736,37,12,137,recovery
30.388519909063216,37,11,138,recovery
30.499524561407874,37,10,139,recovery
32.40202736101226,37,9,140,recovery
33.02255857139946,36,10,140,infection
33.05954563625994,35,11,140,infection
33.72003223737767,35,10,141,recovery
34.046691795102255,35,9,142,recovery
34.43139404893364,35,8,143,recovery
34.8444976456418,35,7,144,recovery
35.24622522151374,35,6,145,recovery
35.42111296458382,34,7,145,infection
36.53003689481602,34,6,146,recovery
37.757410556451795,34,5,147,recovery
39.52885932310663,34,4,148,recovery
41.030702223776686,34,3,149,recovery
41.73792927814363,33,4,149,infection
41.84468158975721,33,3,150,recovery
42.31331079736546,33,2,151,recovery
43.4479280873402,33,1,152,recovery
50.69766799743333,33,0,153,recovery
